num_qubits,method,shots,exact,mean,std,deviation,repeats,num_terms,hamiltonian_file,runtime_seconds
14,Derandomization,45,0.0,-1.0265040373039986,1.8975195348676637,2.1573805699982107,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,1.7667348384857178
14,Derandomization,160,0.0,0.04329928617935081,1.1915506851801116,1.1923371434023329,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,6.10126805305481
14,Derandomization,572,0.0,0.07824993579006437,0.6228193821104643,0.6277157280040144,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,18.87954306602478
14,Derandomization,2038,0.0,-0.0006450628823915755,0.28436921915348085,0.2843699507825724,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,54.42427611351013
14,Derandomization,7259,0.0,0.0032468107653395827,0.1619927388544367,0.16202527340420583,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,143.59483408927917
14,AdaptivePaulis,12,0.0,0.35654417626984114,4.276220305147505,4.291058592910118,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,1.0303142070770264
14,AdaptivePaulis,45,0.0,0.23954213538312205,2.058977077362832,2.0728644528114946,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,3.808032989501953
14,AdaptivePaulis,160,0.0,-0.05113481525458878,0.878680199608445,0.8801668378864643,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,13.020153045654297
14,AdaptivePaulis,572,0.0,0.24868237553151026,0.7477988997745852,0.7880647932778595,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,42.805545806884766
14,AdaptivePaulis,2038,0.0,-0.06293214374871343,0.25973708405050017,0.26725232935910087,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,130.73304104804993
14,AdaptivePaulis,7259,0.0,-0.02905067946882677,0.15971001625310008,0.16233062332525555,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,409.95227789878845
