panel,state,observable,method,shots,reference,rmse,rmse_recomputed,rmse_rounding_delta,mean_estimate,std_estimate,repeats,source_file,source_row
a,W,random_H_3,Compact,25848,0.019728,0.000862,0.0008623319256527619,3.319256527619134e-07,0.02006505,0.0007937339903897274,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,8
b,GHZ,random_H_3,SG,12,0.065967,0.059941,0.05994077768014025,2.2231985975090796e-07,0.0448498,0.05609777796900694,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,1
b,GHZ,random_H_3,SG,45,0.065967,0.03978,0.039780081452279605,8.145227960165702e-08,0.050033249999999994,0.03644956092036638,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,2
b,GHZ,random_H_3,SG,160,0.065967,0.015809,0.015808757927174417,2.420728255833615e-07,0.0621977,0.015352823997883907,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,3
b,GHZ,random_H_3,SG,572,0.065967,0.008917,0.008916745465695429,2.545343045709525e-07,0.06460590000000001,0.00881225036469119,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,4
b,GHZ,random_H_3,SG,1000,0.065967,0.005997,0.005996835102785468,1.648972145313829e-07,0.06587994999999999,0.005996203261022761,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,5
b,GHZ,random_H_3,SG,2038,0.065967,0.002807,0.002806542677387963,4.573226120370595e-07,0.0659296,0.002806293470041934,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,6
b,GHZ,random_H_3,SG,7259,0.065967,0.001568,0.0015678209081397016,1.790918602983388e-07,0.06612789999999999,0.001559542750295739,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,7
b,GHZ,random_H_3,SG,25848,0.065967,0.001599,0.001599228735984945,2.2873598494498396e-07,0.06697225,0.0012437865522267081,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,8
b,GHZ,random_H_3,Derand,12,0.065967,0.051885,0.05188479179008045,2.0820991954856316e-07,0.0387917,0.04419880868315344,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,1
b,GHZ,random_H_3,Derand,45,0.065967,0.039429,0.039428711366211296,2.8863378870314094e-07,0.0489952,0.03558906130765463,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,2
b,GHZ,random_H_3,Derand,160,0.065967,0.01477,0.01477035320498464,3.532049846401847e-07,0.0630896,0.014487370466720316,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,3
b,GHZ,random_H_3,Derand,572,0.065967,0.010227,0.01022673221024194,2.677897580592725e-07,0.0645744,0.010131471607816902,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,4
b,GHZ,random_H_3,Derand,1000,0.065967,0.007094,0.007094016883966376,1.6883966376043946e-08,0.06529395,0.007062016655849801,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,5
b,GHZ,random_H_3,Derand,2038,0.065967,0.003485,0.0034851882947697383,1.8829476973849027e-07,0.06530965,0.003422634720138858,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,6
b,GHZ,random_H_3,Derand,7259,0.065967,0.001894,0.001894440906969653,4.4090696965301546e-07,0.06625985,0.0018716691020316599,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,7
b,GHZ,random_H_3,Derand,25848,0.065967,0.001647,0.001646938402005371,6.159799462905971e-08,0.0668001,0.0014206866262480272,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,8
b,GHZ,random_H_3,OGM,12,0.065967,0.056813,0.05681328338205775,2.833820577502477e-07,0.03980565,0.05043146770447495,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,1
b,GHZ,random_H_3,OGM,45,0.065967,0.039508,0.03950835513343981,3.5513343980830836e-07,0.05575735,0.03816638799031813,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,2
b,GHZ,random_H_3,OGM,160,0.065967,0.01292,0.012919632463812582,3.675361874167643e-07,0.0638846,0.01275070638200096,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,3
b,GHZ,random_H_3,OGM,572,0.065967,0.00804,0.008040061290189273,6.129018927276964e-08,0.06471405,0.007941832398602983,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,4
b,GHZ,random_H_3,OGM,1000,0.065967,0.006419,0.0064192328552561476,2.3285525614733654e-07,0.06509804999999999,0.006360147509885286,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,5
b,GHZ,random_H_3,OGM,2038,0.065967,0.004011,0.004011139407948818,1.3940794881851792e-07,0.06512585,0.003921951813510717,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,6
b,GHZ,random_H_3,OGM,7259,0.065967,0.001389,0.0013887296353142318,2.7036468576826025e-07,0.066308,0.0013462128360701355,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,7
b,GHZ,random_H_3,OGM,25848,0.065967,0.001694,0.0016939167334907611,8.32665092388371e-08,0.067119,0.00124187354428702,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_rand_H_counts_3.txt,8
b,GHZ,random_H_3,AP,12,0.065967,0.046069,0.04606921144104813,2.114410481285356e-07,0.0440938,0.040545472799808364,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,1
b,GHZ,random_H_3,AP,45,0.065967,0.035527,0.03552674412959904,2.5587040096419766e-07,0.05513115,0.03383391646303307,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,2
b,GHZ,random_H_3,AP,160,0.065967,0.016556,0.016555569224584215,4.307754157863164e-07,0.06512314999999999,0.016534049398967573,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,3
b,GHZ,random_H_3,AP,572,0.065967,0.00815,0.008149832032011457,1.6796798854232242e-07,0.06463835,0.008040799172190536,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,4
b,GHZ,random_H_3,AP,1000,0.065967,0.007166,0.007165798654023153,2.0134597684701855e-07,0.06467305,0.007048004238612518,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,5
b,GHZ,random_H_3,AP,2038,0.065967,0.004656,0.004656423337713186,4.233377131858049e-07,0.0653975,0.004621466006582761,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,6
b,GHZ,random_H_3,AP,7259,0.065967,0.002128,0.002127581702308986,4.1829769101406e-07,0.0665489,0.0020464594523224742,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,7
b,GHZ,random_H_3,AP,25848,0.065967,0.002069,0.0020693085076904315,3.085076904314407e-07,0.06686410000000001,0.0018647383972021385,20,data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,8
b,GHZ,random_H_3,Compact,12,0.065967,0.025631,0.0256314695286868,4.695286867986703e-07,0.0578635,0.024316774415000027,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_sym_rand_H_counts_3.txt,1
b,GHZ,random_H_3,Compact,45,0.065967,0.019794,0.019793770470781964,2.2952921803487403e-07,0.061226749999999996,0.01921778809820475,20,data_rhoH/haozhaowu_outputs_GHZ/OGM_sym_rand_H_counts_3.txt,2
