case_name,state_label,method,shots,stored_exact,noisy_exact,stored_deviation,noisy_deviation,num_groups,variance_source,variance_single_shot,variance_T_shots,std_T_shots
H_4_GHZ,GHZ,SG,25848,0.187871272588,0.18787127258781008,0.031911812074,0.031911812073514394,20,empirical_schedule,16.204145936769383,0.0006269013438861569,0.0250379980007619
H_4_GHZ,GHZ,Derand,12,0.187871272588,0.18787127258781008,1.212165273883,1.2121652738834392,20,empirical_schedule,16.53402769910691,1.3778356415922426,1.173812438847128
H_4_GHZ,GHZ,Derand,45,0.187871272588,0.18787127258781008,0.713468659248,0.7134686592475371,20,empirical_schedule,15.899954674276163,0.35333232609502585,0.5944176360901701
H_4_GHZ,GHZ,Derand,160,0.187871272588,0.18787127258781008,0.321560675391,0.3215606753910124,20,empirical_schedule,16.35961926978683,0.10224762043616768,0.31976181829006367
H_4_GHZ,GHZ,Derand,572,0.187871272588,0.18787127258781008,0.199362035426,0.19936203542628786,20,empirical_schedule,16.779929481371788,0.02933554105134928,0.17127621274231072
H_4_GHZ,GHZ,Derand,2038,0.187871272588,0.18787127258781008,0.082479705993,0.082479705992893,20,empirical_schedule,16.76913025635973,0.00822822878133451,0.09070958483718526
H_4_GHZ,GHZ,Derand,7259,0.187871272588,0.18787127258781008,0.080437844379,0.08043784437932087,20,empirical_schedule,32.106341648724936,0.0044229703332036,0.06650541581859029
H_4_GHZ,GHZ,Derand,25848,0.187871272588,0.18787127258781008,0.080437844379,0.08043784437932087,20,empirical_schedule,114.41532292666528,0.004426467151294695,0.06653170034874124
H_4_GHZ,GHZ,AP,12,0.187871272588,0.18787127258781008,1.435064078961,1.4350640789609332,20,empirical_schedule,16.72225176173341,1.3935209801444508,1.180474896024668
H_4_GHZ,GHZ,AP,45,0.187871272588,0.18787127258781008,0.798383998995,0.798383998994742,20,empirical_schedule,22.365026059302533,0.49700057909561185,0.7049826799969002
H_4_GHZ,GHZ,AP,160,0.187871272588,0.18787127258781008,0.333721061902,0.33372106190187306,20,empirical_schedule,18.195772455623736,0.11372357784764835,0.3372292660011114
H_4_GHZ,GHZ,AP,572,0.187871272588,0.18787127258781008,0.151605582216,0.15160558221566708,20,empirical_schedule,17.535479869950215,0.030656433339073804,0.1750897865070199
H_4_GHZ,GHZ,AP,2038,0.187871272588,0.18787127258781008,0.117254293035,0.11725429303498242,20,empirical_schedule,18.189265253321626,0.00892505655216959,0.09447251744380263
H_4_GHZ,GHZ,AP,7259,0.187871272588,0.18787127258781008,0.069493174847,0.06949317484654707,20,empirical_schedule,18.140167422197166,0.0024989898639202596,0.0499898976186215
H_4_GHZ,GHZ,AP,25848,0.187871272588,0.18787127258781008,0.040325754494,0.040325754494328424,20,empirical_schedule,18.125052380978186,0.0007012168206816074,0.026480498875240385
H_4_GHZ,GHZ,OGM,12,0.187871272588,0.18787127258781008,1.085819617106,1.0858196171059022,20,cutset_probability,17.250137222435843,1.437511435202987,1.198962649627997
H_4_GHZ,GHZ,OGM,45,0.187871272588,0.18787127258781008,0.607060999034,0.6070609990340974,20,cutset_probability,17.250137222435843,0.3833363827207965,0.6191416499645267
H_4_GHZ,GHZ,OGM,160,0.187871272588,0.18787127258781008,0.331028783924,0.33102878392427026,20,cutset_probability,17.250137222435843,0.10781335764022401,0.32834944440370845
H_4_GHZ,GHZ,OGM,572,0.187871272588,0.18787127258781008,0.184694952318,0.1846949523180648,20,cutset_probability,17.250137222435843,0.03015758255670602,0.1736593866069612
H_4_GHZ,GHZ,OGM,2038,0.187871272588,0.18787127258781008,0.093522630779,0.09352263077873794,20,cutset_probability,17.250137222435843,0.008464247901097077,0.09200134727870607
H_4_GHZ,GHZ,OGM,7259,0.187871272588,0.18787127258781008,0.05627247561,0.0562724756101152,20,cutset_probability,17.250137222435843,0.002376379283983447,0.048748120825150246
H_4_GHZ,GHZ,OGM,25848,0.187871272588,0.18787127258781008,0.039857171909,0.03985717190873786,20,cutset_probability,17.250137222435843,0.0006673683543189354,0.025833473524072125
H_4_W,W,SG,12,0.057969804592,0.057969804592236,0.663408344337,0.6634083443366158,20,empirical_schedule,12.212303677819103,1.0176919731515919,1.0088072031620274
H_4_W,W,SG,45,0.057969804592,0.057969804592236,0.514765193775,0.5147651937753779,20,empirical_schedule,11.867094622903403,0.26371321384229784,0.5135301489126981
H_4_W,W,SG,160,0.057969804592,0.057969804592236,0.277633632987,0.27763363298714744,20,empirical_schedule,11.490725084277697,0.07181703177673561,0.26798699926812797
H_4_W,W,SG,572,0.057969804592,0.057969804592236,0.15112685931,0.15112685930998432,20,empirical_schedule,11.459656288077325,0.020034364139995323,0.14154279967555863
H_4_W,W,SG,2038,0.057969804592,0.057969804592236,0.058333497705,0.05833349770519487,20,empirical_schedule,11.447037219592778,0.005616799420801167,0.07494530953169229
H_4_W,W,SG,7259,0.057969804592,0.057969804592236,0.034500271498,0.034500271497697396,20,empirical_schedule,11.442616377704093,0.0015763350844061293,0.03970308658537935
H_4_W,W,SG,25848,0.057969804592,0.057969804592236,0.022395456389,0.022395456389003334,20,empirical_schedule,11.440663107348234,0.0004426130883375207,0.02103837180813954
H_4_W,W,Derand,12,0.057969804592,0.057969804592236,1.096297038357,1.0962970383571127,20,empirical_schedule,12.524520148928426,1.0437100124107022,1.0216212666202198
H_4_W,W,Derand,45,0.057969804592,0.057969804592236,0.509395176217,0.5093951762172261,20,empirical_schedule,11.481516206446258,0.2551448045876946,0.5051186044759137
H_4_W,W,Derand,160,0.057969804592,0.057969804592236,0.2556226683,0.25562266830015784,20,empirical_schedule,11.471228296104242,0.0716951768506515,0.26775955043779764
H_4_W,W,Derand,572,0.057969804592,0.057969804592236,0.127975622133,0.1279756221332393,20,empirical_schedule,11.48479805044838,0.02007831827001465,0.14169798258978372
H_4_W,W,Derand,2038,0.057969804592,0.057969804592236,0.071569170562,0.07156917056176958,20,empirical_schedule,11.466717524685102,0.005626456096508882,0.07500970668192805
H_4_W,W,Derand,7259,0.057969804592,0.057969804592236,0.058804226611,0.05880422661088767,20,empirical_schedule,22.212691253742786,0.0030600208367189403,0.05531745508172751
H_4_W,W,Derand,25848,0.057969804592,0.057969804592236,0.058804226611,0.05880422661088767,20,empirical_schedule,79.10402422215317,0.0030603537690402807,0.05532046428800359
H_4_W,W,AP,12,0.057969804592,0.057969804592236,0.964833545143,0.9648335451429297,20,empirical_schedule,8.773380248334613,0.731115020694551,0.8550526420604471
H_4_W,W,AP,45,0.057969804592,0.057969804592236,0.677335428819,0.6773354288193086,20,empirical_schedule,18.375978861952838,0.4083550858211742,0.6390266706649842
H_4_W,W,AP,160,0.057969804592,0.057969804592236,0.299002644088,0.29900264408800514,20,empirical_schedule,12.777574508622166,0.07985984067888854,0.2825948348411353
H_4_W,W,AP,572,0.057969804592,0.057969804592236,0.159635620168,0.1596356201677986,20,empirical_schedule,12.706381823995924,0.022213954237755112,0.14904346425709217
H_4_W,W,AP,2038,0.057969804592,0.057969804592236,0.079096935083,0.07909693508263413,20,empirical_schedule,12.84351819437342,0.00630202070381424,0.07938526754892396
H_4_W,W,AP,7259,0.057969804592,0.057969804592236,0.053934240802,0.05393424080147786,20,empirical_schedule,12.80906391987128,0.001764576927933776,0.04200686762820784
H_4_W,W,AP,25848,0.057969804592,0.057969804592236,0.031264568282,0.03126456828170706,20,empirical_schedule,12.794750351407648,0.0004949996267180303,0.022248587072396988
H_4_W,W,OGM,12,0.057969804592,0.057969804592236,0.870425809706,0.8704258097059896,20,cutset_probability,12.423477432805434,1.0352897860671195,1.0174919095831276
H_4_W,W,OGM,45,0.057969804592,0.057969804592236,0.601247757484,0.6012477574836198,20,cutset_probability,12.423477432805434,0.2760772762845652,0.5254305627621648
H_4_W,W,OGM,160,0.057969804592,0.057969804592236,0.23107175793,0.23107175792979429,20,cutset_probability,12.423477432805434,0.07764673395503396,0.2786516354788429
H_4_W,W,OGM,572,0.057969804592,0.057969804592236,0.163310189902,0.16331018990221566,20,cutset_probability,12.423477432805434,0.02171936614126824,0.14737491693388072
H_4_W,W,OGM,2038,0.057969804592,0.057969804592236,0.068931246017,0.06893124601646164,20,cutset_probability,12.423477432805434,0.0060959163065777405,0.07807634921394405
H_4_W,W,OGM,7259,0.057969804592,0.057969804592236,0.044343259533,0.04434325953298029,20,cutset_probability,12.423477432805434,0.0017114585249766406,0.04136977791790331
H_4_W,W,OGM,25848,0.057969804592,0.057969804592236,0.030918711272,0.030918711272473372,20,cutset_probability,12.423477432805434,0.00048063592667925697,0.021923410470984138
H_swap_3_GHZ,GHZ,SG,12,0.01152190197,0.011521901970373342,0.383371008933,0.3833710089332121,20,empirical_schedule,7.346358071020629,0.6121965059183857,0.7824298728438132
H_swap_3_GHZ,GHZ,SG,45,0.01152190197,0.011521901970373342,0.683922589077,0.6839225890774221,20,empirical_schedule,32.21876051205878,0.7159724558235284,0.8461515560604544
H_swap_3_GHZ,GHZ,SG,160,0.01152190197,0.011521901970373342,0.372634210356,0.37263421035601635,20,empirical_schedule,30.798556996879856,0.1924909812304991,0.4387379414075093
H_swap_3_GHZ,GHZ,SG,572,0.01152190197,0.011521901970373342,0.234242276527,0.23424227652749804,20,empirical_schedule,30.373670189349532,0.05310082200935233,0.23043615603752882
