case_name,state,method,shots,variance_T_shots,variance_single_shot,std_T_shots,variance_source,source_file
rand_H_3_GHZ,GHZ,OGM,12,0.005059342671619293,0.060712112059431514,0.07112905645106853,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,45,0.0013491580457651448,0.060712112059431514,0.03673088680885808,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,160,0.00037945070037144696,0.060712112059431514,0.019479494356154294,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,572,0.00010614005604795719,0.060712112059431514,0.010302429618684963,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,2038,2.9790045171458053e-05,0.060712112059431514,0.00545802575767631,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,7259,8.363701895499588e-06,0.060712112059431514,0.002892006551773282,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,OGM,25848,2.3488127537694022e-06,0.060712112059431514,0.0015325836857311911,cutset_probability,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,12,0.0022252806637086896,0.026703367964504277,0.0471728805958327,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,45,0.0013016759097307018,0.058575415937881584,0.03607874595562742,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,160,0.0005578113547709742,0.08924981676335586,0.023618030289822522,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,572,0.00013642355737767452,0.07803427482002982,0.01168004954517208,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,2038,3.8236631488043434e-05,0.07792625497263252,0.006183577563841456,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,7259,1.0290655389221443e-05,0.07469986747035845,0.003207905140309084,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,AP,25848,2.8859111941202553e-06,0.07459503254562036,0.001698796984374606,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Compact,12,0.0013603873083100852,0.016324647699721022,0.03688342864092335,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,45,0.00036276994888268936,0.016324647699721022,0.01904652065031011,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,160,0.00010202904812325639,0.016324647699721022,0.010100942932382917,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,572,2.8539593880631157e-05,0.016324647699721022,0.005342246145642407,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,2038,8.010131354132003e-06,0.016324647699721022,0.0028302175453720872,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,7259,2.24888382693498e-06,0.016324647699721022,0.0014996278961579036,cutset_probability,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,Compact,25848,6.315632814810051e-07,0.016324647699721022,0.0007947095579398835,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,SG,12,0.0035664642900183293,0.042797571480219954,0.05971988186540835,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,45,0.001877753040130444,0.08449888680586998,0.043333047898000944,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,160,0.000569570446396386,0.09113127142342177,0.02386567506684833,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,572,0.00047363072922520795,0.27091677711681894,0.02176305882051528,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,2038,0.00044371384716164513,0.9042888205154328,0.02106451630495334,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,7259,1.0596659509737766e-05,0.07692115138118644,0.003255251067081887,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,SG,25848,3.214834235220363e-06,0.08309703531197594,0.0017929958826557197,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,12,0.002322765298701057,0.027873183584412684,0.04819507546109931,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,45,0.0019461031547981914,0.08757464196591862,0.04411465918261402,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,160,0.0005675500889599147,0.09080801423358636,0.023823309781806447,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,572,0.00020324246618610875,0.1162546906584542,0.014256313204545864,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,2038,6.837117745924634e-05,0.13934045966194403,0.008268686561918183,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,7259,2.202896367246731e-05,0.15990824729844022,0.004693502282141483,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Derand,25848,7.25519955915841e-06,0.18753239820512657,0.0026935477644100558,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,OGM,12,0.00587032919738566,0.07044395036862793,0.07661807356874525,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,45,0.0015654211193028428,0.07044395036862793,0.03956540306003267,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,160,0.00044027468980392453,0.07044395036862793,0.02098272360309606,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,572,0.00012315375938571314,0.07044395036862793,0.011097466349834684,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,2038,3.456523570590183e-05,0.07044395036862793,0.005879220671645336,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,7259,9.704360155479808e-06,0.07044395036862793,0.0031151822026134856,cutset_probability,variance_noisy_summary.csv
rand_H_3_W,W,OGM,25848,2.725315319120548e-06,0.07044395036862793,0.0016508529065669504,cutset_probability,variance_noisy_summary.csv
